"rgn_id","year","jobs"
1,1990,365524.913596204
5,1990,220377.161250311
2,1990,2654637.07800461
3,1990,573074.058081662
1,1991,378724.084214977
5,1991,228335.020328111
2,1991,2750496.50213735
3,1991,593767.865776992
1,1992,393477.37629697
5,1992,237229.86855101
2,1992,2857642.78608875
3,1992,616898.242528362
1,1993,408587.423340475
5,1993,246339.806478482
2,1993,2967380.0150438
3,1993,640587.943708599
1,1994,422711.049160124
5,1994,254855.025137789
2,1994,3069953.32641628
3,1994,662731.122633564
1,1995,438462.683082008
5,1995,264351.779639709
2,1995,3184350.10182837
3,1995,687426.710915687
1,1996,453128.765729786
5,1996,273194.048772013
2,1996,3290863.02430698
3,1996,710420.359738236
1,1997,468043.430489002
5,1997,282186.189549228
2,1997,3399181.28279801
3,1997,733803.73838239
1,1998,483989.543796043
5,1998,291800.196838108
2,1998,3514990.47133856
3,1998,758804.233625214
1,1999,502604.154256904
5,1999,303023.057055173
2,1999,3650179.71093333
3,1999,787988.428627035
1,2000,519439.046765259
5,2000,313172.914651594
2,2000,3772443.68855722
3,2000,814382.361867353
1,2001,570234.177924775
5,2001,343797.603677955
2,2001,4141345.05079684
3,2001,894019.53805319
1,2002,574920.155532364
5,2002,346622.807663869
2,2002,4175377.12204862
3,2002,901366.266289143
1,2003,578441.036313713
5,2003,348745.567790014
2,2003,4200947.63809756
3,2003,906886.342656955
1,2004,609817.507817376
5,2004,367662.630520428
2,2004,4428820.32620274
3,2004,956078.726497449
1,2005,614717.562288288
5,2005,370616.90273035
2,2005,4464407.13793261
3,2005,963761.086840112
1,2006,639793.995348102
5,2006,385735.634522488
2,2006,4646525.58323843
3,2006,1003076.19976748
1,2007,634948.041137595
5,2007,382813.979683824
2,2007,4611331.676484
3,2007,995478.658419693
1,2008,638656.726637708
5,2008,385049.968400554
2,2008,4638266.13067043
3,2008,1001293.17713139
1,2009,649682.245855265
5,2009,391697.320020368
2,2009,4718339.33780485
3,2009,1018579.10978725
1,2010,667587.850275643
5,2010,402492.716246063
2,2010,4848379.39699198
3,2010,1046651.71716888
1,2011,683790.092579982
5,2011,412261.145242573
2,2011,4966048.73105939
3,2011,1072053.77432559
1,2012,700190.818797687
5,2012,422149.241380102
2,2012,5085159.56127715
3,2012,1097767.01678722
4,1990,112.472989625351
4,1991,116.534409585656
4,1992,121.074036860176
4,1993,125.723438586702
4,1994,130.069315874948
4,1995,134.916135593058
4,1996,139.428928292355
4,1997,144.018210369532
4,1998,148.924871912522
4,1999,154.65263713828
4,2000,159.83277840911
4,2001,175.46257557865
4,2002,176.904463371353
4,2003,177.987847766952
4,2004,187.642471631552
4,2005,189.150231445372
4,2006,196.866316698299
4,2007,195.375203678722
4,2008,196.516376086572
4,2009,199.908957720393
4,2010,205.418559898792
4,2011,210.404033016546
4,2012,215.450580163179
