rgn_id,year,count
1,1990,367076.912475259
5,1990,221312.870676693
4,1990,26601.9765386004
2,1990,2665908.52248379
3,1990,575507.299326444
1,1991,380332.126053738
5,1991,229304.518390805
4,1991,27562.5787139078
2,1991,2762174.96051153
3,1991,596288.9718024
1,1992,395148.059810546
5,1992,238237.133654904
4,1992,28636.2859093246
2,1992,2869776.18175012
3,1992,619517.55887393
1,1993,410322.263291003
5,1993,247385.751882749
4,1993,29735.9568264005
2,1993,2979979.34900374
3,1993,643307.845235392
1,1994,424505.857256803
5,1994,255937.1256968
4,1994,30763.8385075636
2,1994,3082988.18107084
3,1994,665545.042892301
1,1995,440324.371758589
5,1995,265474.202901205
4,1995,31910.2024911072
2,1995,3197870.67896204
3,1995,690345.487297512
1,1996,455052.725794672
5,1996,274354.015826754
4,1996,32977.5628049938
2,1996,3304835.8495095
3,1996,713436.765900879
1,1997,470030.717408301
5,1997,283384.336744055
4,1997,34063.0142947493
2,1997,3413614.02142778
3,1997,736919.429097451
1,1998,486044.537044124
5,1998,293039.164584369
4,1998,35223.5319949036
2,1998,3529914.92947668
3,1998,762026.075081715
1,1999,504738.184127373
5,1999,304309.676454793
4,1999,36578.2561527815
2,1999,3665678.17522125
3,1999,791334.184586333
1,2000,521644.556672601
5,2000,314502.629793874
4,2000,37803.4569499886
2,2000,3788461.27903644
3,2000,817840.185029952
1,2001,572655.361193052
5,2001,345257.349582222
4,2001,41500.1978207717
2,2001,4158928.97637219
3,2001,897815.496329359
1,2002,577361.235206396
5,2002,348094.549230419
4,2002,41841.2313912363
2,2002,4193105.54594534
3,2002,905193.418373346
1,2003,580897.065455818
5,2003,350226.322480467
4,2003,42097.4721684221
2,2003,4218784.63301303
3,2003,910736.932684829
1,2004,612406.759748931
5,2004,369223.706029137
4,2004,44380.9722193286
2,2004,4447624.85614346
3,2004,960138.184708418
1,2005,617327.619584302
5,2005,372190.521917992
4,2005,44737.5857611816
2,2005,4483362.76753812
3,2005,967853.163934766
1,2006,642510.525813391
5,2006,387373.447022053
4,2006,46562.5849859018
2,2006,4666254.47784573
3,2006,1007335.20669078
1,2007,637643.995945184
5,2007,384439.386996037
4,2007,46209.9087238468
2,2007,4630911.13967965
3,2007,999705.406596142
1,2008,641368.42832198
5,2008,386684.869599102
4,2008,46479.8174523447
2,2008,4657959.95609189
3,2008,1005544.61343767
1,2009,652440.761293758
5,2009,393360.445511923
4,2009,47282.2267892781
2,2009,4738373.14970355
3,2009,1022903.94122231
1,2010,670422.391935484
5,2010,404201.678402146
4,2010,48585.3512849904
2,2010,4868965.35190085
3,2010,999
1,2011,686693.42807838
5,2011,999
4,2011,49764.5094042339
2,2011,4987134.30355322
3,2011,1076605.6562744
1,2012,703163.79088653
5,2012,423941.66407154
4,2012,999
2,2012,999
3,2012,999
