"sector","value","cntry_key"
"cf",8968.28577585634,"ECU"
"ph",8336.14066516398,"ECU"
"sb",10543.2749781115,"ECU"
"tour",25170.1068288056,"ECU"
"tran",28600.480785728,"ECU"
"cf",8968.28577585634,"Galapagos Islands"
"ph",8336.14066516398,"Galapagos Islands"
"sb",10543.2749781115,"Galapagos Islands"
"tour",25170.1068288056,"Galapagos Islands"
"tran",28600.480785728,"Galapagos Islands"
