"rgn_id","year","popsum"
1,2005,421555.871549339
2,2005,3002944.84906583
3,2005,730585.824949512
4,2005,24012.1904221906
5,2005,277723.400312195
1,2006,379203.212862579
2,2006,2693409.67866258
3,2006,641162.122816218
4,2006,22001.874202886
5,2006,231218.320373656
1,2007,385484.632214792
2,2007,2745933.78173095
3,2007,645515.768331337
4,2007,23035.0792427128
5,2007,234707.784176371
1,2008,391766.038763672
2,2008,2798457.96119308
3,2008,649869.41125912
4,2008,24068.2832696014
5,2008,238197.242522417
1,2009,398047.436888533
2,2009,2850982.09166617
3,2009,654223.041312061
4,2009,25101.4873536196
5,2009,241686.698533563
1,2010,457101.508074693
2,2010,3301551.02680153
3,2010,755579.518603143
4,2010,29928.0405079976
5,2010,299001.442184439
1,2011,410182.43225524
2,2011,2954254.56978655
3,2011,661587.66925691
4,2011,27350.632486639
5,2011,248354.353686795
1,2012,416036.035924204
2,2012,3005002.92099316
3,2012,664598.655324791
4,2012,28566.5707323388
5,2012,251532.553071784
1,2013,421889.611518211
2,2013,3055751.30575352
3,2013,667609.631316762
4,2013,29782.5100801946
5,2013,254710.749701327
1,2014,427743.206491662
2,2014,3106499.53965036
3,2014,670620.595322355
4,2014,30998.4484366171
5,2014,257888.942954166
1,2015,490239.71863216
2,2015,3590059.10006412
3,2015,772873.315628724
4,2015,36890.1799174354
5,2015,318382.465962642
