"rgn_id","year","count"
1,1988,4483.27159725587
5,1988,2702.99131732742
4,1988,324.901626316291
2,1988,32559.9119790448
3,1988,7028.92348005565
1,1989,4616.53232413821
5,1989,2783.33500828832
4,1989,334.558999497667
2,1989,33527.7225261926
3,1989,7237.85114188321
1,1990,5197.16834841126
5,1990,3133.4039474751
4,1990,376.637554073662
2,1990,37744.6113387653
3,1990,8148.1788112747
1,1991,5054.38899818018
5,1991,3047.32142144556
4,1991,366.290368522188
2,1991,36707.6714668212
3,1991,7924.32774503089
1,1992,5121.01936162135
5,1992,3087.49326692601
4,1992,371.119055112876
2,1992,37191.5767403951
3,1992,8028.79157594467
1,1993,6529.77561723466
5,1993,3936.84085708409
4,1993,473.211285887421
2,1993,47422.7168102435
3,1993,10237.4554295503
1,1994,6034.80720310025
5,1994,3638.42143351504
4,1994,437.341042642311
2,1994,43827.9919208373
3,1994,9461.43839990506
1,1995,6120.4748132389
5,1995,3690.07094913276
4,1995,443.549353973195
2,1995,44450.1558440038
3,1995,9595.74903965134
1,1996,6491.70112383971
5,1996,3913.88551680955
4,1996,470.452036407028
2,1996,47146.1995110585
3,1996,10177.7618118852
1,1997,6348.92177360863
5,1997,3827.80299078002
4,1997,460.104850855554
2,1997,46109.2596391144
3,1997,9953.91074564144
1,1998,6225.17967007503
5,1998,3753.19813488775
4,1998,451.137290044276
2,1998,45210.5784167628
3,1998,9759.90648823014
1,1999,7986.12498959166
5,1999,4814.88262258536
4,1999,578.752578512459
2,1999,57999.5035040734
3,1999,12520.7363052371
1,2000,10622.7836571922
5,2000,6404.53993659745
4,2000,769.830605029683
2,2000,77148.3264726411
3,2000,16654.5193285395
1,2001,8909.4314544193
5,2001,5371.54962424302
4,2001,645.664378411992
2,2001,64705.0480093119
3,2001,13968.3065336138
1,2002,8576.27963721345
5,2002,5170.69039684077
4,2002,621.520945458552
2,2002,62285.5216414423
3,2002,13445.9873790449
1,2003,7852.86426270932
5,2003,4734.53893162446
4,2003,569.095205331083
2,2003,57031.6929569256
3,2003,12311.8086434096
1,2004,8100.34846977653
5,2004,4883.74864340899
4,2004,587.030326953638
2,2004,58829.0554016287
3,2004,12699.8171582322
1,2005,8262.16506670508
5,2005,4981.30883957579
4,2005,598.757137245309
2,2005,60004.2539231653
3,2005,12953.5150333085
1,2006,8376.38854688994
5,2006,5050.17486039942
4,2006,607.034885686488
2,2006,60833.8058207206
3,2006,13132.5958863035
1,2007,9261.62051832263
5,2007,5583.88652178254
4,2007,671.187436105628
2,2007,67262.833026774
3,2007,14520.4724970152
1,2008,9290.17638836885
5,2008,5601.10302698845
4,2008,673.256873215923
2,2008,67470.2210011628
3,2008,14565.2427102639
1,2009,9708.99581571334
5,2009,5853.61177000842
4,2009,703.608617500248
2,2009,70511.9112921989
3,2009,15221.8725045791
1,2010,10004.0731395242
5,2010,6031.51565713613
4,2010,724.992800973294
2,2010,72654.9203608833
3,2010,15684.498041483
1,2011,10099.2593730116
5,2011,6088.90400782248
4,2011,731.890924674277
2,2011,73346.2136088461
3,2011,15833.7320856455
1,2012,10565.6719170998
5,2012,6370.10692618563
4,2012,765.691730809093
2,2012,76733.5505238635
3,2012,16564.978902042
1,2013,11279.5686682552
5,2013,6800.51955633331
4,2013,817.427658566464
2,2013,81918.249883584
3,2013,17684.234233261
