"rgn_id","year","usd"
1,1998,2205253979.08035
5,1998,1329560841.59711
2,1998,16015731791.5434
3,1998,3457421915.40027
1,2002,2342852180.11554
5,2002,1412519621.72224
2,2002,17015043391.7871
3,2002,3673149917.83976
1,2003,2692756101.84561
5,2003,1623478793.34907
2,2003,19556232486.7389
3,2003,4221733209.71916
1,2004,3094275672.02337
5,2004,1865557348.79322
2,2004,22472281978.555
3,2004,4851240093.98905
1,2005,3501539044.89077
5,2005,2111098877.30554
2,2005,25430046032.1465
3,2005,5489752176.5197
1,2006,3952958676.97713
5,2006,2383262479.15991
2,2006,28708496415.4205
3,2006,6197492937.36765
1,2007,4313000009.04509
5,2007,2600333556.23996
2,2007,31323308796.657
3,2007,6761969774.84322
1,2008,5138089175.61732
5,2008,3097784760.09536
2,2008,37315546843.2877
3,2008,8055553821.72738
1,2009,4930828976.26154
5,2009,2972826343.65029
2,2009,35810312618.3717
3,2009,7730608957.21716
1,2010,5495385379.65515
5,2010,3313200783.03259
2,2010,39910422639.1327
3,2010,8615726816.69683
1,2011,6250557789.27712
5,2011,3768498755.06328
2,2011,45394887867.9055
3,2011,9799694588.0741
4,2007,1327121.59206568
4,2008,1581003.72655238
4,2009,1517229.21109584
4,2010,1690944.72032638
4,2011,1923313.28245014
